"avg_z","x","y"
35.6445861816406,197921.600203417,8516459.17778073
38.8694702148438,223439.132410184,8516735.19874875
38.9530578613281,238253.811019039,8516884.26985293
32.7777954101563,162529.248785058,8515194.7388085
38.3649536132813,186405.935909357,8515485.54029085
37.7553649902344,201223.831000643,8515655.27573957
39.7062927246094,225093.92000193,8515911.41316636
40.2934509277344,239907.979049512,8516059.64816713
38.6064392089844,163363.253146708,8514363.99681856
39.3691345214844,187239.037030022,8514654.21232852
37.0747924804688,202879.517491395,8514832.74632343
39.6989685058594,225102.568441774,8515070.65753024
40.4743286132813,239916.160368542,8515218.97026656
32.73427734375,160903.775826528,8513491.60931673
37.41640625,190541.659826207,8513851.60761866
39.3704162597656,205358.186546514,8514019.22996791
39.8539672851563,226757.192530835,8514246.79612605
38.513818359375,241570.16539088,8514394.27134979
33.0406433105469,160914.463193306,8512650.46623944
37.3183837890625,190551.409979347,8513010.65305959
39.9766784667969,205367.468494242,8513178.36319042
39.8857666015625,225119.879754105,8513389.1450399
39.8568054199219,239932.536660018,8513537.61321612
32.554833984375,154338.454875386,8511724.74956302
38.9551330566406,188091.748566858,8512140.92904397
37.8044372558594,202907.597383881,8512310.10299922
39.933984375,221013.799240196,8512505.66184711
38.5218139648438,235826.371438377,8512656.49843465
42.394921875,250637.591572258,8512799.08991282
33.728173828125,183985.924236995,8511251.47504864
37.1492858886719,198801.740186348,8511423.03238699
43.6527038574219,215261.952938268,8511603.96416494
40.8038269042969,230074.603139154,8511758.08883941
41.2461486816406,244885.871966213,8511903.96253648
27.7984252929688,157653.462098375,8510084.90842112
36.612451171875,189757.610964022,8510478.21289658
39.9244934082031,204572.349295244,8510646.64545177
39.2171264648438,220208.489864147,8510815.47156336
39.3450561523438,235020.202671772,8510966.92458123
41.3307434082031,249830.559646593,8511110.12364854
41.6783996582031,162603.737032486,8509306.8112593
36.2299133300781,191413.515774118,8509656.3847016
40.4503112792969,206227.613123826,8509823.98646494
39.9606262207031,221040.207191707,8509983.32181136
39.2402282714844,235851.373940277,8510134.39504155
42.1044250488281,250661.189299244,8510277.21023223
40.9230895996094,163437.60022102,8508476.10486905
35.5625549316406,190600.241998554,8508805.87456305
41.1847473144531,205413.955586562,8508974.02342501
39.7761169433594,220226.161922879,8509133.90131185
38.3413635253906,235036.93695914,8509285.5125386
42.0075317382813,249846.356614128,8509428.86119625
38.8544555664063,165917.72969363,8507666.12147052
36.8733154296875,185671.928691883,8507906.99913333
38.9859558105469,200485.691729297,8508077.99513331
42.9311157226563,216120.780749136,8508249.51172013
38.6598754882813,230931.476411776,8508403.499107
43.0132385253906,245740.795837239,8508549.21850195
39.4042297363281,164282.036064256,8506804.2596338
34.4500061035156,179920.718379165,8506997.24122042
35.4980102539063,196380.519754241,8507190.40406537
41.1536804199219,211192.698569582,8507355.50796569
37.2192626953125,228471.712145568,8507537.66714668
40.8984619140625,243280.786265538,8507684.84094565
32.4386535644531,161823.30646239,8505931.80392065
36.8692260742188,176638.756720382,8506116.33669664
38.5043579101563,193098.431299533,8506311.64701847
40.0317932128906,208733.325462666,8506487.71460476
40.195947265625,226012.070608071,8506671.578694
39.5003295898438,240820.901195411,8506820.20843273
36.9122253417969,255628.406580252,8506960.56421142
39.6342102050781,174179.953978709,8505245.0968059
38.7391296386719,193108.15175862,8505470.70394588
39.9821105957031,207919.728412574,8505637.82190053
36.121240234375,222729.811473485,8505796.65237109
38.0577331542969,237538.476836475,8505947.19964283
41.7631469726563,252345.800364127,8506089.46777658
40.2531677246094,174190.281723267,8504404.03597865
39.6325317382813,193117.877590014,8504629.76048967
39.1348510742188,207928.983481787,8504796.96538943
37.20302734375,222738.59603024,8504955.87849564
38.4000183105469,237546.791117742,8505106.50409545
41.3088317871094,252353.644594141,8505248.8462515
35.771142578125,179138.347594498,8503623.19717889
37.9200378417969,199710.302370761,8503864.19306941
39.2439208984375,215342.996445408,8504036.6430876
36.4132019042969,230151.420128064,8504191.49238952
40.6448608398438,244958.464509346,8504338.05193834
35.679345703125,170919.134884527,8502681.23108318
44.61416015625,192314.513206937,8502938.33014
38.5790344238281,210415.722368166,8503142.34053645
37.8486572265625,225224.151680998,8503300.03590194
39.3088317871094,240031.176646737,8503449.43584095
35.0557495117188,254836.873084548,8503590.54438228
41.353173828125,189033.008857714,8502058.93514268
39.0700012207031,207956.779362283,8502274.39348198
36.1334167480469,222764.978814715,8502433.55442818
36.9585205078125,237571.761517781,8502584.41494878
36.9828125,252377.203283087,8502726.9791118
40.5920959472656,187397.274090908,8501198.57858031
39.3992858886719,211256.787377284,8501469.64074933
35.0458312988281,226064.193945611,8501627.03842756
39.5359130859375,240870.200848904,8501776.1322988
35.3390441894531,167658.913820594,8500116.82421321
40.3483215332031,194812.079832381,8500444.0747264
36.0759216308594,217847.000675458,8500699.81774152
36.9200988769531,232653.304159895,8500853.60403805
42.1155029296875,247458.241897477,8500999.0840385
37.5194641113281,178366.501844238,8499408.04319966
39.4602905273438,211275.143952532,8499787.96081466
36.281396484375,226081.606746372,8499945.52172799
39.6331115722656,240886.670344676,8500094.77022642
37.5727172851563,171794.272626672,8498486.04766252
37.7995544433594,204703.420721564,8498874.38624149
41.4203430175781,219510.057323137,8499035.72642577
35.3762145996094,234315.261285667,8499188.74803088
41.7086730957031,249119.108376761,8499333.45518203
40.285302734375,194018.547507082,8497911.74529712
38.1174560546875,209648.373556501,8498088.24055643
37.9498229980469,224454.051627716,8498246.8894768
37.8962341308594,239258.322555749,8498397.2169154
33.85,165232.807087777,8496721.19830635
35.2159362792969,201431.872243907,8497155.60685793
39.9020935058594,216237.891842028,8497318.96510526
38.4448181152344,231042.462446723,8497473.99521929
39.7479797363281,245845.659807099,8497620.70137893
37.2837768554688,194038.048632518,8496229.86095
36.20546875,208844.347797054,8496397.47148984
39.20791015625,225294.051025566,8496573.93045087
36.8231140136719,240097.300593022,8496723.95072706
34.9661804199219,174304.263366612,8495152.34255105
34.9360290527344,203918.526496067,8495501.64303898
39.5433288574219,226125.222638567,8495741.7227935
35.5609375,240927.923431634,8495891.3576766
35.5268798828125,175137.338649472,8494321.43614149
35.1299682617188,205572.975818279,8494679.19464998
40.1302734375,226133.960197027,8494900.96177309
37.1542602539063,244225.389320862,8495082.81132228
37.7291198730469,195712.402618645,8493726.09614025
32.0100036621094,217918.906929512,8493973.37950122
38.132470703125,232721.427854725,8494127.8030876
35.1267333984375,248344.832898956,8494281.75720976
30.5996643066406,218750.290433005,8493141.37540564
36.7339111328125,233552.259624813,8493295.41488627
34.3477722167969,248352.869339405,8493441.10959091
36.209619140625,223693.266866887,8492352.87380519
34.2348571777344,238494.300335564,8492504.20917401
35.5094848632813,198208.904331896,8491231.74023401
40.3861938476563,226168.958359387,8491537.91357267
35.1010986328125,240969.289858361,8491687.93457795
38.1990295410156,199040.967091924,8490400.25534792
36.2970520019531,223710.943332846,8490671.32148773
34.4206176757813,239333.21481927,8490830.98381023
35.7272888183594,193293.861032696,8489492.71245131
26.2499938964844,217964.008798527,8489769.34241978
34.4110046386719,232764.157187005,8489924.1639603
36.0009704589844,247562.942815712,8490070.62331346
27.5751586914063,217150.798450944,8488919.68277095
33.4062438964844,231950.549466326,8489075.04879456
36.8976684570313,246748.93375232,8489222.04810975
30.5550170898438,215515.413421484,8488061.08051782
32.8618408203125,230314.845377649,8488217.4566932
37.3242126464844,245112.902436659,8488365.46141146
36.4037719726563,194145.687745742,8486979.46936402
35.8997741699219,222102.026178723,8487290.82789185
36.8525939941406,236900.361997097,8487443.56125668
36.3788696289063,179353.347254117,8485961.48291679
34.5366760253906,197444.659278157,8486176.72479368
35.9518371582031,222933.083690814,8486458.74996269
37.1256042480469,237730.867036089,8486611.09609648
36.8350158691406,180186.004896032,8485130.50566264
34.1038757324219,198276.626259289,8485345.28770225
35.9630065917969,225408.293680037,8485643.95299209
34.3493896484375,240205.372796059,8485794.97987816
36.0188232421875,187597.040464749,8484378.89954196
34.4737182617188,202397.368930653,8484551.45354684
35.1166015625,233637.617924551,8484888.16494769
35.545556640625,248433.475911368,8485034.60984566
35.6161743164063,195007.206056648,8483625.28315667
32.0836730957031,209806.28948669,8483793.72437206
35.471337890625,241865.998411533,8484129.87336607
33.1116577148438,185972.665739189,8482677.21187673
32.2217346191406,200772.212359741,8482850.87672469
30.8881469726563,233654.74552702,8483206.70993194
36.9099975585938,184338.337201893,8481816.38775763
35.7094360351563,199137.579950534,8481991.07612834
32.6395812988281,233663.316320136,8482365.98179417
37.1068359375,187637.256305034,8481014.94536096
34.0537353515625,202435.673776818,8481187.85257508
41.9432006835938,228740.277434417,8481474.47078907
36.6711364746094,186825.170259014,8480164.09807008
35.707666015625,201623.195738271,8480337.56137186
36.2609802246094,224639.353803901,8480590.66172204
36.4948364257813,239433.645912883,8480742.61978877
37.7010437011719,195056.321361693,8479420.56094174
33.8016296386719,211496.999219012,8479607.67653348
36.3620239257813,232867.184580899,8479835.38739836
36.2189270019531,252590.985857111,8480030.00082118
36.8171630859375,200820.424240574,8478646.32257227
39.2906433105469,224657.112496258,8478909.10672892
36.2420593261719,239450.448273685,8479061.21984913
37.421533203125,193431.939789252,8477719.36614484
36.4994750976563,209049.794547179,8477898.54324141
38.0732055664063,232062.598146248,8478145.47673613
37.5176330566406,190975.788971332,8476849.24508075
36.2967163085938,209881.110860573,8477066.85308967
37.4829345703125,233714.838956126,8477321.60413529
33.7985473632813,187697.74411819,8475969.00254708
36.3904663085938,202493.287307494,8476142.43921069
35.0912109375,236188.714478647,8476505.99074495
36.2936950683594,190173.796762733,8475157.5181242
37.39833984375,227979.78832519,8475580.59257972
32.7137084960938,242770.90729645,8475731.14125882
37.5382934570313,197581.17771498,8474403.69948346
36.3034912109375,234562.371451528,8474807.81674426
37.7587219238281,191015.774828593,8473485.35691267
37.45107421875,227175.67618756,8473890.4478801
32.1283203125,241965.910700508,8474041.61864234
38.3615661621094,199244.462391224,8472740.93348258
37.7591186523438,236222.854963564,8473143.11327638
38.73232421875,197610.56667976,8471880.89830757
37.4375854492188,217333.069777769,8472103.33350757
35.7037902832031,240339.439455096,8472343.84041535
37.8086791992188,200907.53555513,8471078.10013016
37.469384765625,222272.294532586,8471315.79805507
36.0529724121094,237883.126968812,8471478.33771591
39.2719970703125,198451.956621493,8470208.60701327
37.5169616699219,222281.30464305,8470475.00287818
37.7512451171875,237070.071181541,8470629.30085611
40.5068298339844,197640.003286673,8469358.09357682
37.0598693847656,213252.344025278,8469535.69788972
39.5353942871094,228041.483064659,8469695.24844506
36.2042175292969,190254.155441304,8468429.68957467
42.3170715332031,205045.112480359,8468602.50622034
37.7796875,220656.164380606,8468775.72679172
36.748681640625,235444.121382177,8468931.12216331
41.8759399414063,196016.25891522,8467656.9578703
39.2108093261719,210806.141816735,8467826.56286231
37.4567199707031,225594.555034256,8467987.68777255
33.9548583984375,186987.423281071,8466708.13311682
41.1350952148438,202599.399022679,8466892.47746705
40.1999755859375,217388.137139618,8467058.39677772
36.3794189453125,232175.43929469,8467215.83367833
37.9223876953125,194392.731158864,8465955.67679467
38.7131591796875,209181.816879362,8466126.39662898
37.0530334472656,223969.425054765,8466288.62732128
31.0394836425781,238755.630972534,8466442.37323225
37.4295593261719,200153.986109274,8465182.15408121
40.5874877929688,214942.005427141,8465349.65653333
34.571435546875,233014.292393818,8465542.85024903
37.0447326660156,197699.019409053,8464312.47342903
39.060693359375,212486.804226105,8464481.47678139
33.2855773925781,235487.150165595,8464727.48395036
36.6733642578125,199351.981883534,8463490.74290566
39.9691101074219,214139.117340213,8463658.88665635
30.2865539550781,242887.792832869,8463961.50270303
39.9043212890625,206755.300003252,8462734.99169699
36.1125122070313,194442.5411819,8461750.8888549
40.1610656738281,209229.20953749,8461922.03931351
37.7895141601563,200202.882133751,8460977.53415509
38.5663696289063,214988.483292616,8461145.45884871
41.5415893554688,205141.214699491,8460193.55865591
37.126123046875,194472.49138811,8459228.0113566
40.8075805664063,209257.706211045,8459399.42004565
41.0316101074219,202696.410860988,8458483.37932213
34.782373046875,217480.311788496,8458650.13592432
36.3635192871094,214204.479452806,8457772.96921965
37.9611755371094,209286.248688339,8456876.79711208
31.0961242675781,260197.265554734,8457402.78185406
38.7077880859375,214223.199367285,8456091.27482222
31.8765502929688,260205.118429104,8456562.17029661
38.8690734863281,214232.566827932,8455250.4270056
29.6477905273438,257750.057717286,8455698.41331682
39.3911376953125,213420.766824858,8454400.41002274
30.7806640625,250369.283203096,8454786.8969513
38.1362548828125,197006.303624464,8453370.54599029
37.1035400390625,215072.457728791,8453577.87708059
30.6179748535156,251198.429463131,8453954.22332876
35.4947448730469,195373.818721058,8452510.10613518
39.8515258789063,211797.330530739,8452700.26808294
32.0259033203125,250385.666125606,8453105.57664805
35.6027160644531,192920.221041249,8451639.69737385
36.3880249023438,209343.471036858,8451831.54022572
32.7741333007813,247931.131776592,8452240.77462027
32.7659240722656,263527.851863211,8452389.65822388
35.5482421875,205247.52329008,8450943.66968664
32.2221618652344,243834.917481935,8451359.31776982
32.4460388183594,258610.652328414,8451503.04940833
35.8174377441406,198688.390794619,8450026.1662788
31.6323791503906,228245.836189381,8450357.54411237
32.6318603515625,251231.122155811,8450591.59517092
35.0081726074219,192129.395574506,8449106.89167918
35.8852172851563,209372.150899423,8449308.90626186
31.9724365234375,246314.316478237,8449702.50300522
33.8165222167969,261909.640753018,8449852.61370814
35.1957946777344,202813.512037867,8448392.40843631
31.2061706542969,233189.089206581,8448727.94373058
33.3324523925781,248785.09865394,8448886.16836689
34.2205139160156,263558.956521885,8449027.25961439
34.4477783203125,202823.304289213,8447551.49157039
32.4568115234375,229914.427200965,8447852.64943978
33.7109924316406,244689.436164269,8448004.76471909
31.4358154296875,259463.152322373,8448148.30693271
36.0237976074219,198728.09194323,8446662.40378228
36.5971923828125,227460.778153722,8446985.68266298
33.3667846679688,242235.521763433,8447139.30357815
32.5898376464844,257008.960305128,8447284.34649933
37.3690124511719,196275.049627112,8445792.22714451
34.2255798339844,226648.934600095,8446136.1113228
33.1813293457031,241423.264530993,8446290.28553914
31.7300354003906,256196.285459571,8446435.87727485
35.7795959472656,193822.132955062,8444921.78215893
32.1061950683594,225016.332727626,8445277.65644609
33.27041015625,239790.324063241,8445432.86161265
34.2452941894531,254562.998301957,8445579.47958718
39.7514892578125,283284.154140374,8445840.00252224
34.5084777832031,202041.614226232,8444178.22468719
33.8923889160156,230770.824137342,8444498.27027392
36.8109680175781,245543.80553383,8444650.21091644
30.4435668945313,260315.499188821,8444793.56166107
34.1228271484375,188095.711000092,8443170.03382492
33.4682250976563,202872.343577148,8443346.90116392
33.0557800292969,232421.171839646,8443674.82065764
37.526513671875,247193.517388999,8443825.88160727
39.2760864257813,277554.959834306,8444109.41200104
37.8280578613281,193852.485640001,8442398.86616211
32.9699951171875,211090.480558484,8442600.56920728
35.3240905761719,242278.065881087,8442935.77677911
31.9699951171875,266895.703872556,8443173.34040852
36.4479614257813,188116.343538872,8441488.0193967
32.6107727050781,202891.9957038,8441665.0621617
34.2329650878906,229156.157590103,8441958.53590951
35.4847351074219,268544.411844091,8442347.74763198
39.0578552246094,189768.429177695,8440667.11854732
33.3682800292969,211109.598355624,8440918.82315163
34.7747436523438,248859.723189286,8441320.11328435
40.6657043457031,280858.716062382,8441616.30807237
37.9826599121094,196345.338312346,8439905.52283846
32.6421142578125,222608.904703224,8440206.09864749
